,title,price,link,location,sport
0,putter scotty cameron newport select 2.5,250,https://charlottesville.craigslist.org/spo/d/montpelier-station-putter-scotty/7789330810.html,Spring Creek,golf
1,titleist golf irons,190,https://charlottesville.craigslist.org/spo/d/montpelier-station-titleist-golf-irons/7789329981.html,Spring Creek,golf
2,mr heater golf cart heater,85,https://charlottesville.craigslist.org/spo/d/montpelier-station-mr-heater-golf-cart/7789329149.html,Spring Creek,heater
3,golf bag radio/phone,25,https://charlottesville.craigslist.org/spo/d/montpelier-station-golf-bag-radio-phone/7785722612.html,Gordonsville,golf
5,stealth cam stc-1590 outdoor trail digital camera,45,https://charlottesville.craigslist.org/spo/d/culpeper-stealth-cam-stc-1590-outdoor/7783147060.html,Culpeper,camera
7,(2) karate staff/poles storage bag,50,https://charlottesville.craigslist.org/spo/d/troy-karate-staff-poles-storage-bag/7783122408.html,Louisa,bag
9,large sleeping bag,20,https://charlottesville.craigslist.org/spo/d/troy-large-sleeping-bag/7788017056.html,,bag
10,green sleeping bag,10,https://charlottesville.craigslist.org/spo/d/troy-green-sleeping-bag/7788017784.html,,bag
11,head ti-s6 tennis racquet,40,https://charlottesville.craigslist.org/spo/d/charlottesville-head-ti-s6-tennis/7786658595.html,Charlottesville,tennis
12,girls pink tennis racquet,40,https://charlottesville.craigslist.org/spo/d/charlottesville-girls-pink-tennis/7789183411.html,Charlottesville,tennis
13,pro angler kayak,2000,https://charlottesville.craigslist.org/spo/d/quinque-pro-angler-kayak/7789181111.html,Ruckersville,kayak
17,zebco micro spin 11 ultra lite spin casting reel (new in packa,20,https://charlottesville.craigslist.org/spo/d/nellysford-zebco-micro-spin-11-ultra/7784886010.html,Nelson,reel
19,kettler weatherproof table tennis table (ping pong table),700,https://charlottesville.craigslist.org/spo/d/scottsville-kettler-weatherproof-table/7789112725.html,Scottsville,table
21,nautilus bike,100,https://charlottesville.craigslist.org/spo/d/troy-nautilus-bike/7789056272.html,Palmyra,bike
23,portable catalytic heater,35,https://charlottesville.craigslist.org/spo/d/culpeper-portable-catalytic-heater/7785677188.html,Culpeper,heater
